car	model	price	動力型式	引擎型式	排氣量	最大馬力	最大扭力	壓縮比	系統總合輸出	馬達出力	驅動型式	變速系統	前輪懸吊	後輪懸吊	煞車型式	輪胎尺碼	車身型式	車門數	座位數	車長	車寬	車高	車重	軸距	標準行李箱容量	後座傾倒行李箱容量	市區油耗	高速油耗	平均油耗	燃料費	牌照稅	油箱容量	LED日行燈	LED尾燈	後霧燈	鐵圈	前霧燈	後視鏡方向指示燈	空力套件	抗UV玻璃	LED頭燈	HID氙氣頭燈	車頂行李架	主動轉向頭燈	前座扶手	駕駛座電動調整	粉塵過濾器	雙前座氣動按摩	右前座位置記憶	後座分離倒覆	後座杯架	駕駛座位置記憶	後座前後滑移/傾角調整	里程電腦	雙前座電熱椅	助手席調整按鈕	換檔撥片	右前座電動調整	後座傾角調整	電動天窗	後座出風口	右前座電動腰靠調整	後座扶手	駕駛座電動腰靠調整	織布座椅	方向盤電動調整	方向盤快控鍵	前座杯架	雙前座跑車座椅	恆溫空調	後座折疊小桌	雙前座冷熱通風功能	全景天窗	分區溫控	MP3播放功能	6只揚聲器	USB插槽	10只揚聲器	12只揚聲器	AUX IN	CD音響主機	CD播放功能	中控螢幕	DVD主機	11只揚聲器	8只揚聲器	4只揚聲器	藍牙通訊	9只揚聲器	衛星導航	電動窗防夾功能	電動折疊後視鏡	倒車影像輔助	自動停車系統	後視鏡除霧	行車紀錄器	蜂鳴式倒車輔助系統	手動後窗遮陽簾	電動側滑門	前方駐車雷達	電動尾門	HUD抬頭顯示器	電動後擋遮陽簾	電動行李廂蓋	電動窗/天窗防夾功能	雨滴感應雨刷	環景影像系統	免鑰匙啟動車門鎖	定速巡航	倒車圖像輔助	光感應自動頭燈	煞車力道分配系統	電子煞車力道輔助系統	預束式安全帶	兒童安全鎖	胎壓監控	智慧防盜座椅	雙前座護頸頭枕	駕駛座膝部氣囊	雙前座正面氣囊	主動安全預防系統	斜坡起步輔助	車道變換輔助系統	車道維持輔助系統	ACC主動跟車系統	車道偏離警示系統	循跡防滑控制系統	防盜系統	AEB自動緊急煞車系統	遠光燈自動控制	ISOFIX兒童安全椅固定	全尺寸頭部氣簾	雙前座側面氣囊	陡坡緩降系統	後座側面氣囊	防鎖死煞車系統
citroen-berlingo-2020	Live MT6	98.8	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1499cc	130hp@3750rpm	30.6kgm@1750rpm	16.7			前輪驅動	6速手排	麥花臣	半拖曳臂	前後碟煞	205/60R16	廂型休旅車	5門	7人座	4753mm	1912mm	1846mm	1650kg	2975mm	209ltr	1900ltr	16.96km/ltr	22.22km/ltr	20.0km/ltr	2880元	7120元	53ltr	O	X	O	O	O	X	X	X	X	X	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	X	X	X	O	X	O	X	O	X	O	O	X	O	X	X	X	O	O	O	O	X	X	X	X	X	X	X	X	X	X	O	X	X	O	X	X	X	X	X	O	X	X	X	X	X	X	X	X	O	X	X	O	O	O	O	O	O	O	O	X	X	X	O	X	O	X	O	X	O	O	O	O	X	O	O	O	X	X	O
mazda-cx-5-2020	SKY-G 2WD頂級型	111.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1998cc	165hp@6000rpm	21.7kgm@4000rpm	13			前輪驅動	6速手自排	麥花臣	多連桿	前後碟煞	225/55R19	運動休旅車	5門	5人座	4550mm	1842mm	1680mm	1522kg	2700mm	615ltr	1620ltr	11.05km/ltr	16.67km/ltr	14.0km/ltr	6180元	11230元	56ltr	O	O	O	X	O	O	O	O	O	X	O	O	O	O	O	X	X	O	O	X	X	O	X	X	X	X	O	X	O	X	O	O	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	O	X	X	O	X	X	X	X	O	X	O	O	O	O	X	X	X	O	X	X	O	X	O	X	X	X	O	O	O	O	X	O	O	X	O	X	O	X	O	X	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O
skoda-karoq-2020	1.5 TSI 菁英版	110.9	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1498cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	12.5			前輪驅動	雙離合器7速自手排	麥花臣	扭力樑	前後碟煞	215/55R17	運動休旅車,跨界休旅車	5門	5人座	4382mm	1841mm	1603mm	1393kg	2638mm	521ltr	1630ltr	14.05km/ltr	18.98km/ltr	16.8km/ltr	4800元	7120元	50ltr	O	O	O	X	O	O	X	O	O	X	O	O	O	X	O	X	X	O	O	X	O	O	X	X	X	X	X	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	O	X	O	X	X	X	X	X	O	X	X	O	X	O	X	X	O	O	O	X	O	X	O	X	X	X	O	X	X	X	X	O	X	O	O	X	O	O	O	O	O	O	X	X	O	O	X	O	O	X	O	O	O	O	O	X	O	O	O	X	X	O
peugeot-308-sw-2020	1.2 PureTech Allure	125.8	汽油	渦輪增壓, 直列3缸, DOHC雙凸輪軸, 12氣門	1199cc	130hp@5500rpm	23.45kgm@1750rpm	10.5			前輪驅動	6速手自排	麥花臣	半拖曳臂	前後碟煞	225/45R17	轎式旅行車	5門	5人座	4585mm	1804mm	1466mm	1345kg	2730mm	660ltr	1775ltr	13.89km/ltr	20.41km/ltr	17.5km/ltr	4320元	4320元	53ltr	O	O	O	X	O	X	X	O	O	X	X	X	O	X	X	X	X	O	O	X	X	O	X	X	X	X	X	X	X	X	O	X	X	X	O	O	X	O	X	X	O	O	O	O	O	X	X	X	O	X	O	X	X	X	X	O	X	X	O	O	O	X	O	X	O	X	X	O	X	X	X	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	X	O	O	O	X	O	O	O	X	O	O	O	O	X	X	O
citroen-grand-c4-spacetourer-2020	Feel	159.8	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1997cc	160hp@3750rpm	40.8kgm@2000rpm	16.7			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	205/55R17	廂型休旅車	5門	7人座	4602mm	1826mm	1644mm	1662kg	2840mm	645ltr	2181ltr	15.38km/ltr	20.83km/ltr	18.2km/ltr	3708元	11230元	55ltr	O	O	O	X	O	X	X	O	X	O	O	O	O	X	X	X	X	O	O	X	O	O	X	X	O	X	X	X	O	X	O	X	O	X	O	O	X	O	X	X	O	O	O	O	O	X	X	X	X	X	O	X	X	X	X	O	X	X	O	O	O	O	O	X	O	O	X	O	O	X	X	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O
toyota-rav4-2020	2.0豪華	94.5	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1987cc	173hp@6600rpm	20.7kgm@4400~4900rpm	13			前輪驅動	CVT 10速手自排	麥花臣	雙A臂	前後碟煞	225/65R17	運動休旅車	5門	5人座	4600mm	1855mm	1685mm	1610kg	2690mm			12.42km/ltr	17.35km/ltr	15.1km/ltr	6180元	11230元	55ltr	O	O	O	X	X	O	X	O	O	X	X	X	O	X	O	X	X	O	O	X	X	O	X	X	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	X	X	X	O	O	O	X	X	X	X	X	O	X	X	X	X	O	X	X	O	X	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	X	O	X	O	O	O	O	O	O	X	O	O	O	X	O	X	O	O	O	O	O	O	O	O	O	O	X	X	O
subaru-outback-2020	2.5i-S EyeSight	130.0	汽油	自然進氣, 水平對臥4缸, DOHC雙凸輪軸, 16氣門	2498cc	175hp@5800rpm	24.0kgm@4000rpm	10.3			四輪驅動	CVT 6速手自排	麥花臣	雙A臂	前後碟煞	225/60R18	轎式旅行車,跨界休旅車	5門	5人座	4820mm	1840mm	1605mm	1621kg	2745mm	559ltr		11.05km/ltr	16.19km/ltr	13.8km/ltr	7200元	15210元	60ltr	O	X	O	X	O	O	X	X	O	X	O	O	O	O	O	X	X	O	O	O	X	O	X	X	O	O	X	O	O	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	X	O	X	O	X	X	X	X	O	X	X	O	O	O	X	O	X	X	X	X	X	O	X	X	X	X	O	X	O	O	X	O	O	O	O	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	O	X	O
hyundai-santa-fe-2020	2.4汽油尊爵	129.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	2359cc	185hp@6000rpm	24.3kgm@4000rpm	11.3			四輪驅動	6速手自排	麥花臣	多連桿	前後碟煞	235/65R17	運動休旅車	5門	7人座	4770mm	1890mm	1705mm	1745kg	2765mm	130ltr	1625ltr	7.73km/ltr	13.87km/ltr	10.7km/ltr	6180元	11230元	71ltr	O	X	O	X	X	O	X	X	X	X	O	X	O	X	O	X	X	O	O	X	O	O	X	X	X	X	X	X	O	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	O	X	X	X	X	X	X	X	O	X	X	O	O	X	X	O	X	O	X	X	X	X	X	X	X	X	X	X	O	O	X	O	O	O	O	X	O	X	X	X	O	X	O	X	O	O	O	O	O	O	O	O	O	O	O	X	O
subaru-levorg-2020	2.0 GT-S EyeSight	129.8	汽油	渦輪增壓, 水平對臥4缸, DOHC雙凸輪軸, 16氣門	1998cc	268hp@5600rpm	35.7kgm@2400~5200rpm	10.6			四輪驅動	CVT 6速手自排 高性能模式模擬8速	麥花臣	雙A臂	前後碟煞	225/45R18	轎式旅行車	5門	5人座	4690mm	1780mm	1490mm	1623kg	2650mm	522ltr		8.17km/ltr	13.93km/ltr	11.1km/ltr	6180元	11230元	60ltr	X	X	O	X	O	O	X	X	O	X	X	O	O	O	O	X	X	O	O	X	X	O	X	X	O	X	O	O	X	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	O	O	X	O	X	X	X	X	O	X	X	O	O	O	X	X	X	X	X	X	X	X	X	X	X	X	O	X	O	O	X	O	O	O	O	O	O	X	O	O	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O
toyota-auris-2020	2.0尊爵版	84.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1987cc	170hp@6600rpm	20.4kgm@4400~4800rpm	13			前輪驅動	CVT 10速手自排	麥花臣	雙A臂	前後碟煞	205/55R16	掀背車	5門	5人座	4375mm	1790mm	1435mm	1390kg	2640mm			12.65km/ltr	19.35km/ltr	16.2km/ltr	6180元	11230元	50ltr	O	O	O	X	X	O	X	X	O	X	X	X	O	X	X	X	X	O	O	X	X	O	O	X	X	X	X	X	X	X	O	O	X	X	O	O	X	O	X	X	X	X	O	O	O	X	X	X	X	X	O	X	X	X	X	O	X	X	O	O	X	X	X	X	O	X	X	X	X	X	X	X	X	X	X	O	O	O	O	O	O	O	O	O	X	O	O	O	X	O	X	O	O	O	O	O	O	O	O	O	O	X	X	O
mazda-3-5d-2020	2.0頂級型	90.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1998cc	165hp@6000rpm	21.7kgm@4000rpm	13			前輪驅動	6速手自排	麥花臣	扭力樑	前後碟煞	215/45R18	掀背車	5門	5人座	4460mm	1795mm	1435mm	1370kg	2725mm	327ltr		11.47km/ltr	18.82km/ltr	15.2km/ltr	6180元	11230元	51ltr	O	O	O	X	X	O	X	O	O	X	X	O	O	X	X	X	X	O	O	X	X	O	X	X	X	X	X	X	O	X	O	X	X	X	O	O	X	O	X	X	X	O	O	X	O	X	X	X	X	X	O	X	X	O	X	O	X	O	O	O	O	X	X	X	O	X	X	O	X	X	X	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	O	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O
peugeot-308-2020	1.2 PureTech Active	96.8	汽油	渦輪增壓, 直列3缸, DOHC雙凸輪軸, 12氣門	1199cc	130hp@5500rpm	23.45kgm@1750rpm	10.5			前輪驅動	6速手自排	麥花臣	半拖曳臂	前後碟煞	205/55R16	掀背車	5門	5人座	4253mm	1804mm	1466mm	1290kg	2620mm	470ltr	1309ltr	13.55km/ltr	20.29km/ltr	17.2km/ltr	4320元	4320元	53ltr	O	O	O	X	O	X	X	X	X	X	X	X	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	X	O	X	O	X	X	X	X	O	X	X	O	O	O	X	O	X	O	X	X	O	X	X	X	X	X	O	X	X	O	O	O	O	O	O	O	O	X	X	X	O	X	O	X	X	X	X	O	O	X	X	O	O	O	X	X	O
subaru-forester-2020	2.0 i-L	103.0	汽油	自然進氣, 水平對臥4缸, DOHC雙凸輪軸, 16氣門	1995cc	156hp@6000rpm	20.0kgm@4000rpm	12.5			四輪驅動	CVT 7速手自排	麥花臣	雙A臂	前後碟煞	225/60R17	運動休旅車	5門	5人座	4625mm	1815mm	1730mm	1530kg	2670mm	520ltr		10.53km/ltr	16.08km/ltr	13.5km/ltr	6180元	11230元	63ltr	X	X	O	X	O	O	X	X	O	X	O	X	O	O	O	X	X	O	O	O	X	O	X	X	O	O	O	X	O	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	O	X	O	O	O	X	X	X	O	X	X	O	O	O	X	X	X	O	X	X	X	X	X	X	X	X	O	X	O	O	X	O	O	O	O	O	O	X	O	O	O	X	O	X	X	X	X	O	O	X	X	O	O	O	O	X	O
volkswagen-tiguan-2020	280 TSI Comfort	109.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10.5			前輪驅動	雙離合器6速自手排	麥花臣	四連桿	前後碟煞	215/65R17	運動休旅車	5門	5人座	4486mm	1839mm	1632mm	1526kg	2681mm	615ltr	1655ltr	10.14km/ltr	15.07km/ltr	12.8km/ltr	4800元	7120元	60ltr	X	O	O	X	O	O	X	X	X	X	O	X	O	X	X	X	X	O	X	X	O	O	X	X	X	X	X	X	O	X	X	X	O	X	O	O	X	X	X	X	X	X	O	X	O	X	X	X	O	X	O	X	X	O	X	O	X	X	O	O	X	X	O	X	O	X	X	O	X	X	X	X	X	O	X	X	O	O	O	O	O	O	O	O	X	O	O	O	X	O	X	X	O	X	O	O	O	X	O	O	O	X	X	O
ford-focus-5d-2020	1.5 Ti-VCT成真型	69.2	汽油	自然進氣, 直列3缸, DOHC雙凸輪軸, 12氣門	1497cc	123hp@6500rpm	15.3kgm@4500rpm	11			前輪驅動	6速自排	麥花臣	扭力樑	前後碟煞	205/60R16	掀背車	5門	5人座	4378mm	1825mm	1480mm	1281kg	2700mm	375ltr		12.56km/ltr	20.73km/ltr	16.7km/ltr	4800元	7120元	52ltr	O	X	O	X	O	O	X	X	X	X	X	X	O	X	O	X	X	O	O	X	X	O	X	X	X	X	X	X	X	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	X	X	X	O	X	X	X	X	O	X	X	O	O	O	X	O	X	O	X	X	X	X	X	X	X	X	X	X	X	O	O	O	O	O	O	O	O	X	X	X	O	X	O	X	X	X	X	O	O	X	X	O	O	O	X	X	O
volkswagen-sharan-2020	280 TSI Life	156.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10			前輪驅動	雙離合器6速自手排	麥花臣	四連桿	前後碟煞	225/50R17	廂型休旅車	5門	7人座	4854mm	1904mm	1740mm	1797kg	2920mm	300ltr	2297ltr	11.29km/ltr	15.72km/ltr	13.7km/ltr	4800元	7120元	70ltr	O	O	O	X	O	O	X	X	X	O	O	X	O	O	O	X	X	O	O	O	O	O	O	X	X	O	X	X	O	O	O	O	X	X	O	O	X	O	X	X	O	O	O	X	O	X	X	X	O	X	O	X	X	O	X	O	X	X	O	O	O	O	O	X	O	X	O	O	O	X	X	X	X	O	X	X	O	O	O	O	O	O	O	O	X	O	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	X	O	O
toyota-corolla-altis-2020	1.8經典	69.8	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1798cc	140hp@6400rpm	17.6kgm@4000rpm	10			前輪驅動	CVT 7速手自排	麥花臣	雙A臂	前後碟煞	195/65R15	轎車	4門	5人座	4630mm	1780mm	1435mm	1290kg	2700mm	470ltr		11.16km/ltr	18.53km/ltr	14.9km/ltr	4800元	7120元	50ltr	O	O	O	O	X	O	X	X	X	X	X	X	O	X	O	X	X	O	O	X	X	O	X	X	X	X	X	X	O	X	O	X	X	X	O	O	X	X	X	X	X	X	O	X	X	X	X	X	O	X	X	X	X	X	O	O	X	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	O	X	O	O	O	O	O	O	X	O	O	O	X	O	X	O	O	O	O	O	O	O	O	O	O	X	X	O
hyundai-elantra-2020	經典型	64.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1591cc	128hp@6300rpm	15.8kgm@4850rpm	10.5			前輪驅動	6速手自排	麥花臣	扭力樑	前後碟煞	195/65R15	轎車	4門	5人座	4620mm	1800mm	1450mm	1262kg	2700mm	458ltr		10.92km/ltr	18.81km/ltr	14.9km/ltr	4800元	7120元	50ltr	O	O	O	X	X	O	X	X	X	X	X	X	O	X	O	X	X	O	X	X	X	O	X	X	X	X	X	X	X	X	O	X	X	X	X	O	X	X	X	X	X	X	O	O	O	X	X	O	X	X	X	X	X	X	X	X	X	X	O	O	X	X	O	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	O	O	O	O	O	O	X	X	X	O	X	O	X	X	X	X	O	O	X	X	O	O	O	X	X	O
nissan-x-trail-2020	2.0 2WD智行版	99.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1997cc	141.5hp@6000rpm	20.1kgm@4400rpm	11.2			前輪驅動	CVT 7速手自排	麥花臣	多連桿	前後碟煞	225/65R17	運動休旅車	5門	5人座	4670mm	1820mm	1749mm	1493kg	2706mm			10.64km/ltr	16.62km/ltr	13.8km/ltr	6180元	11230元	60ltr	O	O	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	O	X	O	O	X	X	X	X	X	X	O	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	O	X	X	O	X	X	X	X	O	X	X	O	O	X	X	X	X	O	X	X	O	O	X	X	X	X	X	O	O	O	X	O	O	O	O	O	O	X	X	X	O	X	O	O	O	O	O	O	O	O	X	O	O	O	X	X	O
citroen-c5-aircross-2020	Feel	138.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1598cc	180hp@5500rpm	25.5kgm@1650rpm	10.5			前輪驅動	8速手自排	麥花臣	拖曳臂	前後碟煞	235/55R18	運動休旅車	5門	5人座	4500mm	1859mm	1692mm	1550kg	2730mm	580ltr	1630ltr	11.25km/ltr	17.36km/ltr	14.5km/ltr	4800元	7120元	53ltr	O	O	O	X	O	O	X	X	X	X	O	X	O	X	O	X	X	O	O	X	O	O	X	X	O	X	X	X	O	X	O	X	X	X	O	O	X	O	X	X	O	O	O	O	O	X	X	X	X	X	O	X	X	X	X	O	X	X	O	O	O	X	O	O	O	X	X	X	O	X	X	X	X	O	X	X	O	O	O	O	O	O	O	O	X	X	X	O	X	O	O	O	O	O	O	O	O	O	O	O	O	O	X	O
subaru-xv-2020	2.0 i-S	99.8	汽油	自然進氣, 水平對臥4缸, DOHC雙凸輪軸, 16氣門	1995cc	156hp@6000rpm	20.0kgm@4000rpm	12.5			四輪驅動	CVT 7速手自排	麥花臣	雙A臂	前後碟煞	225/55R18	掀背車,跨界休旅車	5門	5人座	4465mm	1800mm	1615mm	1458kg	2665mm	385ltr		10.02km/ltr	16.35km/ltr	13.3km/ltr	6180元	11230元	63ltr	O	X	O	X	O	O	X	X	O	X	O	O	O	O	O	X	X	O	O	X	X	O	X	X	O	X	X	O	X	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	O	O	X	O	X	X	X	X	O	X	X	O	O	O	X	X	X	O	X	X	X	X	X	X	X	X	O	X	O	O	X	X	O	O	O	O	O	X	O	O	O	X	O	O	X	X	X	O	O	X	O	O	O	O	O	X	O
honda-cr-v-2020	1.5 VTi-S	103.0	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1498cc	193hp@5600rpm	24.8kgm@2000~5000rpm	10.3			前輪驅動	CVT 7速手自排	麥花臣	多連桿	前後碟煞	235/60R18	運動休旅車	5門	5人座	4570mm	1855mm	1680mm	1504kg	2660mm			11.17km/ltr	17.69km/ltr	14.6km/ltr	4800元	7120元	57ltr	O	O	O	X	O	O	X	X	O	X	X	X	O	X	O	X	X	O	O	X	X	O	X	X	O	X	O	X	O	X	O	X	X	X	O	O	X	O	X	X	X	O	O	X	O	X	X	X	X	X	O	X	X	O	X	O	X	O	O	O	O	X	X	X	X	X	X	X	X	X	X	X	X	O	X	O	O	O	O	O	O	O	X	O	X	X	X	O	X	O	O	O	O	O	O	O	O	O	O	O	O	X	X	O
volkswagen-touran-2020	280 TSI Comfort	109.8	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1395cc	150hp@5000~6000rpm	25.5kgm@1500~3500rpm	10			前輪驅動	雙離合器7速自手排	麥花臣	四連桿	前後碟煞	215/55R17	跨界休旅車,廂型休旅車	5門	7人座	4527mm	1829mm	1659mm	1530kg	2791mm	137ltr	1857ltr	13.39km/ltr	17.83km/ltr	15.9km/ltr	4800元	7120元	58ltr	X	O	O	X	O	O	X	O	X	X	O	X	O	X	O	X	X	O	O	X	O	O	X	X	X	X	X	X	O	X	X	X	O	X	O	O	X	O	X	X	X	O	O	X	O	X	X	X	O	X	O	X	X	O	X	O	X	X	O	O	O	X	O	X	O	X	X	O	X	X	X	X	X	O	X	O	O	O	O	O	O	O	X	O	X	O	O	O	X	O	X	X	O	X	O	O	O	X	O	O	O	X	O	O
ford-kuga-2020	EcoBoost 182全民便利型	85.9	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1498cc	182hp@6000rpm	24.5kgm@1600~5000rpm	10			前輪驅動	6速手自排	麥花臣	多連桿	前後碟煞	235/55R17	運動休旅車	5門	5人座	4536mm	1838mm	1685mm	1560kg	2690mm			10.0km/ltr	16.3km/ltr	13.3km/ltr	4800元	7120元	60ltr	O	O	O	X	O	O	X	X	X	X	X	X	O	X	X	X	X	O	O	X	X	O	X	X	O	X	X	X	O	X	O	X	X	X	O	O	X	O	X	X	X	O	O	O	O	X	X	X	O	X	O	X	X	X	X	O	X	X	O	O	O	X	O	X	O	X	X	X	X	X	X	X	X	X	X	X	X	X	X	O	O	O	O	O	X	X	O	O	X	O	X	X	X	X	O	O	X	X	O	O	O	X	X	O
mitsubishi-eclipse-cross-2020	傳奇型	94.9	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1499cc	163hp@5500rpm	25.49kgm@1800~4500rpm	10			前輪驅動	CVT 8速手自排	麥花臣	多連桿	前後碟煞	215/70R16	運動休旅車	5門	5人座	4405mm	1805mm	1685mm		2670mm			12.72km/ltr	16.05km/ltr	14.6km/ltr	4800元	7120元		O	O	O	X	O	O	X	O	X	X	O	X	O	X	O	X	X	O	O	X	O	O	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	O	X	X	X	O	O	O	O	X	X	X	O	X	X	X	X	X	X	X	X	X	O	O	X	X	O	X	X	X	X	X	X	X	X	X	X	O	X	X	O	X	O	O	O	O	X	O	X	X	O	O	X	O	X	X	X	O	O	O	O	O	O	O	O	X	X	O
